Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCB06,OUT046,2555.490967
FDR09,OUT019,707.7250366
FDC53,OUT017,1607.151489
FDY45,OUT013,4021.258545
FDA22,OUT010,447.9669495
FDE02,OUT035,1604.05249
FDW21,OUT045,1642.913452
FDV34,OUT046,1211.51416
FDS59,OUT049,1673.04187
NCW17,OUT017,2108.072998
NCK54,OUT046,1889.415161
FDG17,OUT019,656.1109619
FDG35,OUT017,2936.952393
FDD08,OUT010,30.20603371
NCO07,OUT017,3726.101807
FDJ10,OUT010,382.0168457
FDW36,OUT017,1690.325928
FDW21,OUT010,311.7970886
FDY19,OUT017,1918.043213
DRE03,OUT013,795.9072266
NCC55,OUT049,683.3397827
FDH52,OUT010,248.9246216
FDO09,OUT017,3962.293213
FDU43,OUT045,3959.758789
FDX09,OUT010,471.5984192
FDH40,OUT019,300.5557556
FDW58,OUT017,1694.624634
FDC47,OUT017,3896.317139
NCR41,OUT035,1610.357788
DRG49,OUT035,3975.710693
FDC52,OUT027,3558.830811
FDY13,OUT046,1213.981079
FDY35,OUT013,700.4990845
FDI35,OUT017,3226.327148
NCU18,OUT049,2178.43335
FDY33,OUT018,2300.534668
FDC15,OUT027,3841.607422
FDU01,OUT049,3086.882568
NCU42,OUT046,2749.216553
NCV29,OUT018,2555.973633
NCY30,OUT017,3229.607422
FDQ46,OUT049,1876.198242
FDG58,OUT027,3666.047363
FDK33,OUT017,3633.924805
NCD07,OUT045,1871.56897
NCX29,OUT027,3670.645264
NCT42,OUT013,2415.757568
DRN59,OUT035,818.9520264
FDI44,OUT035,1350.864136
FDA45,OUT049,2853.358398
FDP31,OUT045,1096.548584
FDY01,OUT046,1874.351685
FDT09,OUT018,1951.691284
DRH03,OUT027,2533.105957
FDA36,OUT018,2699.748047
NCF31,OUT017,2456.583496
FDG14,OUT049,2420.708252
FDG28,OUT027,6108.386719
FDU14,OUT049,4150.564941
FDY47,OUT019,382.8787842
FDI56,OUT049,1452.201172
DRD01,OUT013,928.649292
FDM22,OUT046,936.3789673
FDH33,OUT013,702.619873
DRZ24,OUT013,1873.200806
NCQ38,OUT046,1664.219727
FDO16,OUT027,2154.875977
FDU07,OUT027,3669.054688
NCB07,OUT013,3107.604492
FDU48,OUT045,2169.473633
NCM43,OUT045,2704.404541
FDR31,OUT010,378.885498
DRK49,OUT018,546.1088867
NCI30,OUT010,554.49823
DRD60,OUT017,2945.800293
NCG19,OUT046,3802.584229
FDH12,OUT035,1689.125488
FDM32,OUT035,1483.330078
FDM27,OUT035,2450.01416
NCU53,OUT027,4259.256836
NCQ18,OUT046,1582.692749
FDS10,OUT013,2871.040283
FDB33,OUT027,3791.515381
FDI12,OUT013,1352.804443
NCW42,OUT013,3611.255615
NCC06,OUT018,1854.745483
FDW02,OUT017,2097.888916
NCD43,OUT017,1697.037231
FDM57,OUT018,1191.029785
FDA58,OUT017,3862.774658
FDK56,OUT046,3098.098389
FDP52,OUT045,4009.220947
FDW20,OUT018,1847.539795
FDS52,OUT049,1597.259888
NCT29,OUT018,1730.059937
NCL54,OUT013,2846.969971
FDC05,OUT045,3095.015869
FDF34,OUT035,3101.692139
FDP03,OUT027,3260.192871
FDD32,OUT010,285.0364685
FDZ10,OUT045,2065.995361
FDZ40,OUT035,966.2156372
FDD51,OUT018,569.5594482
NCY30,OUT019,466.3166504
FDP58,OUT017,3576.563965
FDV49,OUT017,4100.53125
FDY24,OUT019,232.9893799
NCO55,OUT017,1686.426636
FDR13,OUT017,1920.895996
FDS51,OUT017,1001.464233
FDP26,OUT045,1658.522949
NCB54,OUT027,3288.512695
FDF32,OUT017,3181.724121
FDN31,OUT018,2751.089844
DRM48,OUT017,715.6691895
FDN20,OUT049,2768.468506
DRL01,OUT046,3893.811279
FDV56,OUT049,1662.804932
DRH13,OUT027,2589.166992
FDA03,OUT017,2456.276367
FDF47,OUT027,5812.406738
FDX32,OUT046,2405.436523
FDX57,OUT049,1580.151001
NCA30,OUT045,3109.411377
FDO49,OUT013,794.861084
FDL04,OUT019,356.3896484
DRM48,OUT035,715.6691895
FDR16,OUT013,3464.630127
NCC19,OUT018,2754.709473
NCE42,OUT045,3932.328613
FDY24,OUT017,969.7156372
FDH19,OUT049,2880.562256
FDJ46,OUT013,2855.88623
FDN45,OUT010,612.1044922
FDY08,OUT035,2206.760986
FDZ37,OUT035,1391.057007
NCT30,OUT045,802.6657715
DRY23,OUT018,566.4437866
NCZ30,OUT018,1847.539795
FDC44,OUT018,1722.463013
FDB45,OUT035,1697.830933
FDY04,OUT013,2678.675049
FDM27,OUT046,2552.772705
FDZ43,OUT017,4020.171875
FDT39,OUT019,411.1070862
NCC06,OUT019,381.2042236
FDL15,OUT027,3672.164063
FDL57,OUT017,4144.777344
FDU08,OUT046,1585.841064
FDK40,OUT017,4100.53125
FDQ12,OUT010,725.9388428
FDS48,OUT017,2465.962891
FDP09,OUT045,3594.992676
FDW21,OUT049,1582.680054
FDY25,OUT035,2923.708252
DRE13,OUT017,1392.024658
FDV43,OUT019,68.49221802
FDD22,OUT045,1793.055786
FDM46,OUT019,292.3179626
NCO30,OUT010,562.2703247
FDM25,OUT046,2850.266846
NCN41,OUT049,2049.267822
FDU24,OUT045,1479.857666
FDZ50,OUT046,3147.330566
FDP45,OUT013,3772.156494
NCM54,OUT045,2052.744141
FDW10,OUT019,467.2045288
FDP20,OUT017,2098.575928
FDK32,OUT046,2414.878174
FDN52,OUT049,1367.668701
FDM58,OUT045,1759
FDZ46,OUT027,2888.696533
NCA18,OUT018,1711.788818
FDD35,OUT046,2055.205566
NCK31,OUT035,833.5136108
FDI40,OUT027,2616.882568
FDT50,OUT019,291.9899597
NCT06,OUT046,2684.967773
FDT31,OUT035,3101.623047
FDT45,OUT049,926.1887207
FDT13,OUT045,3137.948242
FDO50,OUT045,1447.154541
NCU18,OUT010,379.2812195
NCR54,OUT049,3103.572266
NCO18,OUT018,2550.35376
FDU09,OUT045,933.5116577
FDT13,OUT018,2763.584961
FDE09,OUT046,1883.678955
NCK53,OUT019,333.9307251
FDG45,OUT049,3574.414551
DRH15,OUT035,783.1873169
FDO21,OUT019,698.989563
FDD14,OUT027,5160.941895
FDC09,OUT046,1663.930176
FDH45,OUT027,1163.093994
FDV32,OUT046,1098.160889
FDG12,OUT035,1919.181396
FDS32,OUT013,2179.748291
NCL55,OUT018,3556.550049
DRE01,OUT035,3852.014404
DRE15,OUT049,1326.330933
NCL42,OUT045,3910.631104
FDP31,OUT013,1092.843872
FDN33,OUT018,1336.617188
FDZ59,OUT046,2668.686768
FDE45,OUT010,466.24646
FDJ07,OUT013,1877.910889
FDQ45,OUT018,2725.170898
FDM33,OUT027,5508.884766
FDO15,OUT010,277.4892273
FDM46,OUT013,1443.41333
FDR03,OUT045,3644.97583
FDY49,OUT018,2422.258545
FDQ60,OUT045,1876.186035
FDW10,OUT049,2866.24585
FDO51,OUT049,750.9672852
FDJ40,OUT018,1511.484863
FDS20,OUT018,2787.554932
FDU45,OUT013,1878.671753
FDV02,OUT035,2799.289307
FDN09,OUT046,3961.565674
NCM55,OUT027,5112.828613
FDN23,OUT018,2166.85791
FDY31,OUT010,379.2690125
FDW03,OUT010,353.0683594
FDD14,OUT046,3128.844971
FDV23,OUT017,2075.755127
DRI03,OUT045,2878.340088
FDN13,OUT035,1607.658813
FDF45,OUT027,1626.345703
FDU46,OUT035,1396.38501
FDB57,OUT049,3857.491699
FDV12,OUT049,1582.386353
FDQ58,OUT013,2414.788574
NCA18,OUT017,1905.484985
FDH52,OUT049,949.3653564
FDM24,OUT018,2168.448486
NCP43,OUT027,4655.361328
NCO18,OUT019,477.3262329
FDM32,OUT017,1482.536377
NCL07,OUT017,710.7922974
FDK03,OUT013,4037.365479
FDP59,OUT017,1690.325928
FDQ24,OUT049,4055.656494
FDQ16,OUT018,1559.137329
FDU44,OUT013,2551.402588
FDH28,OUT010,56.20384979
FDV28,OUT019,51.8142395
FDM22,OUT045,932.4898071
FDR56,OUT046,3091.963623
FDV39,OUT049,3095.022461
FDU37,OUT019,304.9659119
FDQ11,OUT010,848.9277954
FDX02,OUT045,3842.982178
NCS42,OUT018,1291.097168
FDY57,OUT027,2568.423096
FDB21,OUT049,3825.028076
FDE28,OUT017,3887.619873
FDQ55,OUT017,1914.596436
FDA48,OUT049,3719.866943
FDZ19,OUT045,2840.236572
NCC43,OUT045,3911.036133
NCV18,OUT046,1344.868896
NCA42,OUT018,2306.603271
FDY45,OUT046,4047.205322
NCC30,OUT045,2874.759277
FDM57,OUT013,1350.691406
FDL09,OUT010,444.4256592
FDB09,OUT027,3260.192871
FDT44,OUT035,1906.517456
NCT06,OUT027,4237.186035
FDX26,OUT049,3178.452637
FDK32,OUT013,2411.408691
DRA12,OUT046,2165.280518
FDO46,OUT010,562.9252319
FDE52,OUT013,1365.285889
NCH42,OUT045,4039.151855
FDV08,OUT035,732.8109741
FDB47,OUT018,3219.762939
FDC28,OUT010,366.0831604
FDD22,OUT046,1876.134033
FDS07,OUT027,3036.421631
DRI13,OUT045,3594.665039
FDG32,OUT018,3422.812012
FDU14,OUT017,4213.355957
FDD28,OUT019,238.233429
NCP41,OUT017,1757.159302
FDS08,OUT049,2869.518799
FDX47,OUT045,2515.3125
FDC53,OUT019,297.1107178
FDQ19,OUT035,3952.13916
FDL14,OUT045,2426.822998
FDM33,OUT019,563.7149048
FDA51,OUT045,1874.492554
FDZ27,OUT018,648.5495605
FDT04,OUT046,707.8700562
DRC13,OUT049,2047.392456
FDR16,OUT027,5461.186523
FDQ03,OUT027,6132.865723
FDE38,OUT035,2804.20166
DRH23,OUT027,1737.839722
FDT11,OUT019,550.1246338
FDD09,OUT035,2929.071777
FDR40,OUT045,1337.85498
FDX07,OUT017,3229.607422
FDR07,OUT035,1604.323608
FDA51,OUT017,1903.041626
FDT59,OUT019,748.2797241
FDF20,OUT017,3188.311523
FDR13,OUT045,1882.615967
FDY26,OUT049,3756.369385
FDW04,OUT017,2160.315674
FDK52,OUT017,4004.963623
FDN60,OUT049,2508.026855
FDM09,OUT019,468.2812805
FDP46,OUT049,1365.555664
FDB50,OUT019,300.8736572
NCQ29,OUT049,3918.693848
FDP16,OUT027,6178.791992
FDX33,OUT018,2397.521973
FDP07,OUT010,545.3955688
FDN22,OUT046,3871.148193
FDF39,OUT049,4080.172119
FDS21,OUT017,977.7718506
NCM42,OUT013,1659.855225
FDK50,OUT019,439.4455566
DRF13,OUT027,3664.496338
FDH35,OUT018,2385.499023
FDP60,OUT018,1421.884277
DRJ49,OUT027,3278.148438
NCT42,OUT019,403.2019043
FDE38,OUT049,2756.527588
FDI04,OUT049,3120.754883
NCH54,OUT045,2566.095703
FDT56,OUT049,945.2700195
DRD15,OUT018,3412.071777
FDV58,OUT013,3092.660156
FDP21,OUT049,3142.707275
FDH05,OUT013,3785.764648
FDR10,OUT027,4175.114258
NCP06,OUT045,2418.67041
FDF33,OUT049,1667.645264
DRK37,OUT013,3117.937988
DRH49,OUT045,1351.478516
FDT58,OUT013,2729.512695
FDD41,OUT018,1501.722778
FDP40,OUT018,1597.662109
FDM51,OUT027,2591.594482
FDO45,OUT010,288.276123
FDW33,OUT010,352.2761841
FDY24,OUT045,940.368042
FDB10,OUT010,603.2055664
FDM40,OUT035,2211.343018
NCI06,OUT017,2934.858398
FDW12,OUT019,380.1639404
FDX48,OUT027,3685.975586
NCW05,OUT027,2621.918213
FDX27,OUT017,1604.05249
DRM37,OUT045,3095.015869
FDA38,OUT045,3987.706543
FDR36,OUT046,702.9562378
FDZ45,OUT046,3096.852295
FDG05,OUT017,2623.917725
FDK28,OUT013,4081.906006
FDV47,OUT045,1353.291016
FDN21,OUT045,2560.025146
FDP20,OUT027,3289.268311
FDI35,OUT045,3168.955811
DRY23,OUT013,702.0350952
FDA56,OUT017,2087.057861
FDB09,OUT013,2035.898438
NCO26,OUT027,3027.017334
FDQ49,OUT018,2183.550781
FDI52,OUT027,3267.493896
FDZ44,OUT027,3036.532471
FDZ09,OUT018,2397.521973
FDY03,OUT049,1876.903564
NCG42,OUT017,2169.398438
DRI13,OUT027,5456.056152
FDQ32,OUT013,2042.977905
FDW16,OUT035,1482.953491
FDU27,OUT046,810.3892212
FDR28,OUT010,446.3875122
FDQ49,OUT010,421.2053833
FDS37,OUT046,1888.969604
FDW26,OUT018,3185.424316
FDX12,OUT018,3487.950439
NCP06,OUT013,2410.430908
FDW45,OUT010,379.2690125
NCN30,OUT049,1581.155884
FDN24,OUT049,936.4312134
NCL41,OUT027,1118.914917
FDR02,OUT019,357.8052673
FDD09,OUT010,489.6691895
FDS33,OUT010,288.276123
FDU22,OUT045,1900.206177
FDI53,OUT013,2665.217285
DRH01,OUT049,2845.408691
FDX32,OUT013,2166.831055
NCP30,OUT018,540.6102905
FDB60,OUT045,3130.940186
FDB14,OUT049,1484.381714
NCP02,OUT035,965.5873413
FDJ10,OUT017,2211.343018
FDG34,OUT046,1763.951782
NCB18,OUT017,1397.627319
FDM16,OUT049,1213.887085
FDW25,OUT018,1199.412842
FDB35,OUT010,306.0676575
DRN11,OUT013,2249.629395
FDF41,OUT019,658.1868286
FDH16,OUT045,1364.244629
NCQ50,OUT018,3118.191162
DRH23,OUT018,801.6367188
DRJ37,OUT013,2401.348145
DRJ24,OUT027,5135.876953
FDY16,OUT035,3186.035156
FDQ27,OUT045,1661.322021
FDZ33,OUT045,2410.206543
FDF29,OUT045,2150.785889
FDA08,OUT049,2699.293701
FDG31,OUT046,1097.358398
FDE34,OUT019,554.4194946
NCR30,OUT027,1998.721558
FDV33,OUT035,4010.276855
DRZ24,OUT018,1769.706421
NCL54,OUT035,2918.403809
FDR12,OUT049,2885.185059
NCC54,OUT046,3797.800537
DRN59,OUT013,780.7935791
FDX50,OUT019,368.8220825
FDV31,OUT027,4649.114258
NCA29,OUT027,4647.250977
FDW60,OUT049,2884.956787
FDX08,OUT017,3229.607422
DRD49,OUT013,3800.497803
FDD33,OUT046,3830.69043
FDW35,OUT013,696.7717285
FDJ36,OUT017,1688.85437
FDV51,OUT035,2775.954346
FDW36,OUT046,1659.921021
FDH35,OUT046,2675.88501
NCS30,OUT027,3345.783203
FDN49,OUT017,715.6691895
FDL08,OUT018,3414.226807
FDI09,OUT013,3806.783691
FDP19,OUT018,1905.220825
FDU21,OUT010,49.1893692
NCP41,OUT045,1660.693481
FDY10,OUT013,1878.130615
FDP12,OUT018,526.545166
NCN26,OUT049,1887.140015
FDK44,OUT013,2836.617432
FDC28,OUT049,1668.129761
FDJ41,OUT027,6022.570801
NCT29,OUT035,2076.823975
NCH42,OUT019,708.536499
FDU60,OUT018,2441.980225
FDS02,OUT045,3109.619873
FDC51,OUT046,2051.82373
FDU03,OUT013,3117.400146
FDX39,OUT045,3662.707031
NCY05,OUT010,43.51998138
NCL06,OUT027,6211.345703
FDD32,OUT035,1349.621216
NCN41,OUT045,2044.744141
NCX53,OUT049,2191.873779
FDU57,OUT019,400.4161072
FDQ23,OUT046,1667.841919
FDQ52,OUT045,3898.981934
FDC14,OUT045,690.2165527
FDY09,OUT035,2931.846924
FDQ28,OUT045,2416.319092
FDV25,OUT046,3633.692139
FDJ07,OUT035,1915.083252
DRB25,OUT049,1651.725464
FDK52,OUT019,605.3286133
FDY52,OUT027,1768.19397
FDB28,OUT046,3070.009033
FDT36,OUT035,715.0844116
FDV25,OUT017,3904.150879
NCN07,OUT027,3357.134277
FDC57,OUT017,3183.032959
FDQ03,OUT018,3422.496338
FDU23,OUT017,2818.25415
NCX41,OUT035,3651.56665
NCD06,OUT035,835.4141235
FDW08,OUT045,1658.522949
NCU29,OUT017,2465.773438
NCE06,OUT013,2660.384033
FDV52,OUT010,353.0544434
FDB02,OUT017,2934.838135
NCR18,OUT045,698.5331421
FDK16,OUT049,1579.228882
NCQ29,OUT010,721.5980225
FDZ01,OUT019,357.9517517
FDW27,OUT035,2544.451172
FDD17,OUT018,3483.694824
FDW39,OUT013,2860.633789
DRH59,OUT045,1090.717041
FDS52,OUT013,1658.109009
FDU40,OUT027,5432.030273
NCF54,OUT013,2851.709717
FDH46,OUT045,1662.744629
NCP14,OUT049,1663.046997
FDH50,OUT049,3086.882568
DRF15,OUT010,387.2148438
FDV27,OUT027,2290.584473
NCJ06,OUT049,1954.723267
FDN02,OUT018,3207.97876
FDQ51,OUT049,791.8813477
FDQ07,OUT017,3878.071533
FDS45,OUT049,1669.406616
NCJ06,OUT045,2052.077148
FDD36,OUT035,1922.56311
FDY25,OUT045,3171.362793
FDU52,OUT046,2407.523926
DRK47,OUT017,4057.41333
NCL30,OUT017,2097.820313
FDN22,OUT035,3947.089844
NCF30,OUT027,3306.364014
FDK03,OUT035,4150.721191
FDT45,OUT017,964.1810913
NCC54,OUT027,6029.279785
FDP08,OUT018,2750.543457
FDU44,OUT046,2675.88501
DRG39,OUT035,956.2536011
FDU32,OUT049,2059.520508
FDY27,OUT049,2883.218262
NCP54,OUT013,2047.388428
NCZ41,OUT049,2060.406738
DRL49,OUT013,2249.010498
FDI05,OUT018,1182.404053
FDY56,OUT045,3842.982178
DRC13,OUT013,2047.388428
NCV29,OUT017,2948.910889
FDR24,OUT049,1450.088135
FDZ34,OUT018,2747.880859
FDP37,OUT035,2091.220703
FDX08,OUT027,4675.795898
FDS57,OUT045,2173.151123
NCG18,OUT049,1668.854858
FDK25,OUT018,2454.832031
FDH53,OUT049,1321.424194
DRI59,OUT018,3385.601563
FDA52,OUT046,2835.776123
FDT20,OUT010,39.48326874
FDE36,OUT019,435.2890015
FDI24,OUT017,2914.227295
FDB28,OUT018,2821.626465
FDV11,OUT017,2913.781006
FDP01,OUT046,2404.214844
FDD34,OUT027,4173.65625
FDJ50,OUT027,1588.566772
FDZ44,OUT013,1882.725342
DRO59,OUT035,1266.559448
DRB48,OUT045,687.5098267
FDR21,OUT018,2534.542725
NCE42,OUT010,724.5783081
FDO23,OUT046,1482.575073
NCE30,OUT018,3109.010986
FDQ22,OUT035,712.6930542
FDY01,OUT045,1872.710205
FDS08,OUT017,2919.658936
FDG28,OUT018,3352.32959
FDQ51,OUT018,648.5495605
FDB05,OUT017,4079.007813
FDO56,OUT049,1884.480957
FDE02,OUT018,1304.436646
FDN45,OUT017,3778.637207
FDS09,OUT013,799.3372192
NCA54,OUT018,2554.404053
FDP09,OUT010,530.616272
FDC53,OUT045,1577.164185
NCM55,OUT017,3185.001709
FDL09,OUT018,2454.832031
FDA11,OUT019,286.0009766
FDA50,OUT045,1574.182251
FDC23,OUT017,2948.910889
FDE22,OUT049,2586.834717
FDD23,OUT046,3122.155518
NCA29,OUT049,2889.675293
FDK38,OUT046,2408.974365
DRC13,OUT046,2043.077393
NCP43,OUT049,2895.317383
FDX28,OUT049,1584.49939
FDF08,OUT049,1450.088135
FDZ33,OUT046,2402.609863
FDD10,OUT049,2868.450684
FDO58,OUT017,2749.487061
FDI50,OUT017,4084.547607
FDO58,OUT045,2696.634033
FDX08,OUT013,2876.403809
NCK17,OUT010,43.95593262
FDF39,OUT035,4118.939453
FDU45,OUT010,341.1555176
NCJ18,OUT018,1724.156494
DRC27,OUT019,548.7084351
DRC25,OUT035,1390.052124
FDU59,OUT035,2600.955566
FDU28,OUT035,3186.077148
NCP30,OUT046,700.7869873
FDB39,OUT018,782.5319824
FDE41,OUT013,1350.691406
DRH11,OUT010,240.282135
FDA58,OUT045,3806.243164
FDU50,OUT046,1873.032349
FDM34,OUT013,2114.837646
FDM44,OUT027,2573.92334
FDR39,OUT045,3160.820801
FDM25,OUT045,2861.486816
FDQ49,OUT049,2431.302979
DRH25,OUT018,758.5150757
FDM09,OUT027,4637.011719
FDL44,OUT019,456.5055237
NCR42,OUT018,527.1734619
DRL59,OUT046,911.0985107
FDX43,OUT013,2729.512695
DRK47,OUT010,613.4542847
FDU48,OUT018,1940.66333
FDY12,OUT045,806.6511841
NCN43,OUT018,1834.612061
NCM55,OUT018,2787.554932
FDQ21,OUT027,3214.930664
FDX13,OUT035,4119.898438
NCK30,OUT027,6177.668945
FDG20,OUT049,2859.338867
DRG27,OUT017,727.9811401
FDY14,OUT018,3574.594238
FDP59,OUT035,1691.119629
FDU60,OUT017,2803.446045
NCC18,OUT019,465.5923462
DRJ39,OUT017,3680.414795
FDS07,OUT049,1879.016602
FDM08,OUT027,5897.34375
FDP51,OUT045,1939.328247
FDU16,OUT035,1373.212402
FDH12,OUT013,1655.400757
DRE48,OUT010,558.7654419
NCL42,OUT027,6169.783203
